comp0_NID	IW_ID	Ensemble	HUGO
160	271	ENSG00000182118	FAM89A

161	272	ENSG00000162739	SLAMF6

162	274	ENSG00000065054	SLC9A3R2

163	275	ENSG00000164733	CTSB

164	276	ENSG00000212864	LOC100132503

165	277	ENSG00000198939	ZFP2

166	278	ENSG00000124164	VAPB

167	281	ENSG00000169951	ZNF764

168	282	ENSG00000187003	ACTL7A

169	283	ENSG00000198887	SMC5

170	284	ENSG00000164600	NEUROD6

171	286	ENSG00000124406	ATP8A1

172	288	ENSG00000166974	MAPRE2

173	289	ENSG00000140650	PMM2

174	290	ENSG00000184787	UBE2G2

175	292	ENSG00000132475	H3F3B

176	295	ENSG00000162704	ARPC5

177	297	ENSG00000180694	TMEM64

178	298	ENSG00000175305	CCNE2

179	301	ENSG00000096006	CRISP3

180	303	ENSG00000196810	C4orf42

181	306	ENSG00000107566	ERLIN1

182	307	ENSG00000134588	USP26

183	308	ENSG00000136982	DSCC1

184	311	ENSG00000184792	OSBP2

185	312	ENSG00000167994	RAB3IL1

186	313	ENSG00000151746	BICD1

187	314	ENSG00000065613	SLK

188	315	ENSG00000104320	NBN

189	317	ENSG00000163125	RPRD2

190	319	ENSG00000146426	TIAM2

191	320	ENSG00000128683	GAD1

192	322	ENSG00000116030	SUMO1P3

193	324	ENSG00000128573	FOXP2

194	326	ENSG00000143199	ADCY10

195	327	ENSG00000141084	RANBP10

196	329	ENSG00000168646	AXIN2

197	330	ENSG00000014914	MTMR11

198	332	ENSG00000106278	PTPRZ1

199	333	ENSG00000197756	RPL37A

200	334	ENSG00000185527	PDE6G

201	341	ENSG00000101680	LAMA1

202	343	ENSG00000146223	RPL7L1

203	346	ENSG00000073754	CD5L

204	347	ENSG00000076321	KLHL20

205	349	ENSG00000066135	KDM4A

206	350	ENSG00000128713	HOXD11

207	353	ENSG00000152078	TMEM56

208	354	ENSG00000151718	WWC2

209	355	ENSG00000170175	CHRNB1

210	358	ENSG00000108771	DHX58

211	360	ENSG00000204188	GGNBP1

212	361	ENSG00000139908	TSSK4

213	362	ENSG00000186153	WWOX

214	364	ENSG00000069849	ATP1B3

215	365	ENSG00000110841	PPFIBP1

216	368	ENSG00000211656	IGLV2-33

217	372	ENSG00000135476	ESPL1

218	374	ENSG00000198380	GFPT1

219	375	ENSG00000152904	GGPS1

220	376	ENSG00000011143	MKS1

221	377	ENSG00000115762	PLEKHB2

222	378	ENSG00000164035	EMCN

223	380	ENSG00000122966	CIT

224	383	ENSG00000151876	FBXO4

225	384	ENSG00000168918	INPP5D

226	385	ENSG00000112319	EYA4

227	388	ENSG00000188986	COBRA1

228	389	ENSG00000197181	PIWIL2

229	390	ENSG00000136098	NEK3

230	392	ENSG00000051415	AMY1A

231	395	ENSG00000040933	INPP4A

232	396	ENSG00000116957	TBCE

