comp0_NID	IW_ID	Ensemble	HUGO
691	1227	ENSG00000065882	TBC1D1

692	1232	ENSG00000105173	CCNE1

693	1234	ENSG00000171136	RLN3

694	1236	ENSG00000125398	SOX9

695	1240	ENSG00000107020	C9orf46

696	1241	ENSG00000100156	SLC16A8

697	1242	ENSG00000112619	PRPH2

698	1244	ENSG00000094804	CDC6

699	1245	ENSG00000168615	ADAM9

700	1250	ENSG00000174516	PELI3

701	1255	ENSG00000196935	SRGAP1

702	1256	ENSG00000163359	COL6A3

703	1257	ENSG00000089154	GCN1L1

704	1259	ENSG00000124610	HIST1H1A

705	1264	ENSG00000121552	CSTA

706	1265	ENSG00000197448	GSTK1

707	1266	ENSG00000095370	SH2D3C

708	1269	ENSG00000197601	FAR1

709	1271	ENSG00000075624	ACTB

710	1272	ENSG00000034152	MAP2K3

711	1273	ENSG00000174640	SLCO2A1

712	1274	ENSG00000101670	LIPG

713	1279	ENSG00000157450	RNF111

714	1280	ENSG00000164916	FOXK1

715	1281	ENSG00000182871	COL18A1

716	1282	ENSG00000136732	GYPC

717	1283	ENSG00000113648	H2AFY

718	1287	ENSG00000152402	GUCY1A2

719	1288	ENSG00000138778	CENPE

720	1289	ENSG00000017373	SNIP

721	1291	ENSG00000117475	BLZF1

722	1292	ENSG00000012124	CD22

