Ensemble CGE_2A DFC_2A HIP_2A LGE_2A M1C.S1C_2A MFC_2A OFC_2A PCx_2A MGE_2A Ocx_2A HIP_2B HIP_3A S1C_3A V1C_4 STC_3B IPC_3A CBC_4 M1C_3A STR_3A DFC_4
ENSG00000164045 456.065934075203 444.608705599593 366.72346 373.769248414634 469.10398647019 449.593344888211 319.131123252032 400.091137672764 347.53196780149 467.782846144986 168.403297401762 110.911220287094 -23.7881360264227 -37.2933804471545 -35.4067250101626 -22.7958647256097 -12.4018183028455 -23.6531167581301 6.21894358570457 -39.5047039058265
ENSG00000135437 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000185989 -1.95275038279133 0 -2.02012796409214 -2.08898429539295 0 -1.93432497628726 0 0 -4.12445427845528 -2.00996923441734 0 0 0 0 1.64096995765582 0 31.874707776084 0 -27.9366523306233 0
ENSG00000076321 0 0 0 0 0 0 0 0 0 0 0 0 0 12.5313841294038 0 0 0 0 0 0
ENSG00000138430 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000102900 67.6395468216462 0 1.73713611957995 85.7865879361449 10.2874909163279 0 74.2691014557925 0 122.850642875169 1.78865763888889 1.59133964092141 17.5595317708334 -3.08182842310298 103.242317936145 81.3505814066734 -3.10505985941734 89.0870490896004 -3.04546349085365 127.60827569021 158.197255812161
ENSG00000113761 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000134590 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000057593 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000158161 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.66871077066396 0 0 0
ENSG00000110104 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000154721 14.3417147560975 0 50.2152567632113 0 5.60382047425474 11.3438946883469 0 0 2.79932538617886 0 57.8276036077236 48.2147672916667 -41.1450463058943 0 0 -10.368027398374 12.8452873170732 -53.5589922848916 -7.91127265582655 0
ENSG00000170579 -50.273547696477 -119.11842200542 -206.381839983062 -88.7454552100271 -44.7897756808944 -71.4057880911247 -160.983254476626 -41.4722522696478 -84.5695949051491 -81.8561917750678 -23.2720430758808 -13.8281959146342 0 6.45115866361789 6.40188026422765 0 -96.266047288279 0 -82.60098587229 6.43053235264228
ENSG00000107984 0 0 0 -5.02388898204607 0 0 0 0 -2.46455296239837 0 0 0 0 0 0 0 0 0 -18.6800530724932 0
ENSG00000135414 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000185340 -64.3412717623645 -89.8404312694784 -81.4892532206979 -84.1124542776084 -63.8324273822833 -93.3697938914296 -128.624296818259 -78.939552936145 -78.9120237593158 -89.8130093487467 -48.5291489015921 -18.3747793944783 -21.4879224314024 -1.40334878048781 -28.6162342911586 -4.31294771341463 -138.855581770833 -32.2678072230691 -83.8203807037601 -35.3084661746274
ENSG00000146904 0 -4.54725182079946 -3.37376468157182 -2.2982602100271 -3.23404523035231 -3.43779928523035 0 -3.40294273035231 -3.30667384315718 -4.53450560128727 -4.01015411077235 -4.03871324356368 0 0 0 0 0 0 0 0
ENSG00000100815 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000174059 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000186575 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000085741 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.6357013685637 0 0 0
ENSG00000131482 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
